experiment_name,Useful,Unhelpful,not_able_to_evaluate,Invalid,Useful_ratio,Unhelpful_ratio,not_able_to_evaluate_ratio,Invalid_ratio,3/3,2/3,1/3,0/3,3/3_ratio,2/3_ratio,1/3_ratio,0/3_ratio,overall_punctuation,time_mean,time_std
gpt-4o-mini_social_n1_Te_Srr,405,73,62,18,0.73,0.13,0.11,0.03,79.0,70.0,28.0,9.0,0.42,0.38,0.15,0.05,0.7258064516129036,14.625541662645867,2.6155841377304907
gpt-4o-mini_social_n1_Te_Sr,405,64,70,19,0.73,0.11,0.13,0.03,80.0,70.0,25.0,11.0,0.43,0.38,0.13,0.06,0.7258064516129037,10.956790743456397,2.838868448437338
o3-mini_temperatureNA,329,63,158,8,0.59,0.11,0.28,0.01,42.0,76.0,51.0,17.0,0.23,0.41,0.27,0.09,0.5896057347670252,,
o3-mini_temperatureNA,329,63,158,8,0.59,0.11,0.28,0.01,42.0,76.0,51.0,17.0,0.23,0.41,0.27,0.09,0.5896057347670252,5.636298924731182,1.4214930296333272
llama8b_social_n2_Tee_S,351,63,121,23,0.63,0.11,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6290322580645166,0.294155291014386,2.285779221942871
llama8b_social_n2_Teo_Sd,348,80,104,26,0.62,0.14,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623655913978495,0.2347958613116974,1.7667874683758504
llama8b_social_n2_Teo_S,357,55,126,20,0.64,0.1,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6397849462365595,1.405990621408007,5.10119271803735
llama8b_social_n2_Tee_Sd,365,71,105,17,0.65,0.13,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6541218637992834,0.143046239718935,1.708304520536854
llama8b_social_n2_Teo_Sdr,335,67,127,29,0.6,0.12,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600358422939068,0.1328306939660681,0.736316949134659
llama8b_social_n1_Te_Sr,343,62,130,23,0.61,0.11,0.23,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6146953405017923,0.0100324175631006,0.1337184967319836
llama8b_social_n2_Tee_Sr,367,59,114,18,0.66,0.11,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6577060931899645,0.0002698763542788,0.00011005880504
llama8b_social_n2_Teo_Sdd,369,57,107,25,0.66,0.1,0.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6612903225806452,0.0314287152341616,0.4228094757191785
llama8b_social_n1_Te_Srr,349,65,128,16,0.63,0.12,0.23,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625448028673835,0.0131160636220918,0.1750529784364743
llama8b_social_n1_Te_S,381,69,90,18,0.68,0.12,0.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6827956989247315,0.0001230864492695,0.000181647633695
llama8b_social_n2_Teo_Sr,350,54,133,21,0.63,0.1,0.24,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6272401433691762,0.2073200830729097,1.8518168140043776
llama8b_social_n2_Teo_Srd,351,60,123,24,0.63,0.11,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6290322580645163,0.3964564424034418,3.108081124554639
llama8b_social_n2_Teo_Srd,351,60,123,24,0.63,0.11,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6290322580645163,0.3964564424034418,3.108081124554639
llama8b_social_n2_Tee_Srd,364,62,112,20,0.65,0.11,0.2,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6523297491039426,0.0283448987975916,0.3834724046206627
llama8b_social_n2_Tee_S,351,63,121,23,0.63,0.11,0.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6290322580645166,0.294155291014386,2.285779221942871
gpt-4o-mini_social_n1_Te_Srr,405,73,62,18,0.73,0.13,0.11,0.03,79.0,70.0,28.0,9.0,0.42,0.38,0.15,0.05,0.7258064516129036,14.625541662645867,2.6155841377304907
llama8b_social_n2_Teo_Srd,351,60,123,24,0.63,0.11,0.22,0.04,55.0,74.0,38.0,19.0,0.3,0.4,0.2,0.1,0.6290322580645163,0.3964564424034418,3.108081124554639
llama8b_social_n2_Tee_Srd,364,62,112,20,0.65,0.11,0.2,0.04,65.0,64.0,41.0,16.0,0.35,0.34,0.22,0.09,0.6523297491039426,0.0283448987975916,0.3834724046206627
llama8b_social_n2_Tee_S,351,63,121,23,0.63,0.11,0.22,0.04,53.0,73.0,46.0,14.0,0.28,0.39,0.25,0.08,0.6290322580645166,0.294155291014386,2.285779221942871
llama8b_social_n2_Teo_Sd,348,80,104,26,0.62,0.14,0.19,0.05,54.0,70.0,46.0,16.0,0.29,0.38,0.25,0.09,0.623655913978495,0.2347958613116974,1.7667874683758504
llama8b_social_n2_Teo_S,357,55,126,20,0.64,0.1,0.23,0.04,54.0,76.0,43.0,13.0,0.29,0.41,0.23,0.07,0.6397849462365595,1.405990621408007,5.10119271803735
llama8b_social_n2_Tee_Sdr,368,63,108,19,0.66,0.11,0.19,0.03,69.0,59.0,43.0,15.0,0.37,0.32,0.23,0.08,0.6594982078853051,0.2297579809555142,1.0741718659471182
llama8b_social_n2_Tee_Sd,365,71,105,17,0.65,0.13,0.19,0.03,68.0,62.0,37.0,19.0,0.37,0.33,0.2,0.1,0.6541218637992834,0.143046239718935,1.708304520536854
llama8b_social_n2_Teo_Sdr,335,67,127,29,0.6,0.12,0.23,0.05,57.0,62.0,40.0,27.0,0.31,0.33,0.22,0.15,0.600358422939068,0.1328306939660681,0.736316949134659
llama8b_social_n1_Te_Sr,343,62,130,23,0.61,0.11,0.23,0.04,54.0,69.0,43.0,20.0,0.29,0.37,0.23,0.11,0.6146953405017923,0.0100324175631006,0.1337184967319836
llama8b_social_n3_Teee_S,355,73,108,22,0.64,0.13,0.19,0.04,60.0,67.0,41.0,18.0,0.32,0.36,0.22,0.1,0.6362007168458782,0.1077112365000106,0.5591307305578394
llama8b_social_n3_Teoo_S,367,76,96,19,0.66,0.14,0.17,0.03,62.0,67.0,47.0,10.0,0.33,0.36,0.25,0.05,0.6577060931899642,0.1019353154677896,0.4929327562082019
llama8b_social_n2_Tee_Sr,367,59,114,18,0.66,0.11,0.2,0.03,58.0,81.0,31.0,16.0,0.31,0.44,0.17,0.09,0.6577060931899645,0.0002698763542788,0.00011005880504
gpt-4o-mini_social_n1_Te_Sr,405,64,70,19,0.73,0.11,0.13,0.03,80.0,70.0,25.0,11.0,0.43,0.38,0.13,0.06,0.7258064516129037,10.956790743456397,2.838868448437338
llama8b_social_n2_Teo_Sdd,369,57,107,25,0.66,0.1,0.19,0.04,61.0,77.0,32.0,16.0,0.33,0.41,0.17,0.09,0.6612903225806452,0.0314287152341616,0.4228094757191785
llama8b_social_n2_Tee_Sdd,387,59,80,30,0.7,0.11,0.14,0.05,78.0,60.0,33.0,15.0,0.42,0.32,0.18,0.08,0.6935483870967745,0.1091985844297243,0.6657494737342733
llama8b_social_n1_Te_Srr,349,65,128,16,0.63,0.12,0.23,0.03,65.0,51.0,52.0,18.0,0.35,0.27,0.28,0.1,0.625448028673835,0.0131160636220918,0.1750529784364743
o3-mini_temperatureNA,329,63,158,8,0.59,0.11,0.28,0.01,42.0,76.0,51.0,17.0,0.23,0.41,0.27,0.09,0.5896057347670252,5.636298924731182,1.4214930296333272
llama8b_social_n1_Te_S,381,69,90,18,0.68,0.12,0.16,0.03,73.0,64.0,34.0,15.0,0.39,0.34,0.18,0.08,0.6827956989247315,0.0001230864492695,0.000181647633695
llama8b_social_n3_Teeo_S,375,73,88,20,0.67,0.13,0.16,0.04,72.0,59.0,41.0,14.0,0.39,0.32,0.22,0.08,0.6720430107526885,0.131146438634264,0.5726021120606414
llama8b_social_n2_Tee_Srr,331,69,132,20,0.6,0.12,0.24,0.04,43.0,78.0,46.0,19.0,0.23,0.42,0.25,0.1,0.5931899641577064,0.1294230801749333,0.7865762129985154
llama8b_social_n2_Teo_Sr,350,54,133,21,0.63,0.1,0.24,0.04,48.0,85.0,36.0,17.0,0.26,0.46,0.19,0.09,0.6272401433691762,0.2073200830729097,1.8518168140043776
llama8b_social_n2_Teo_Srr,346,70,116,26,0.62,0.13,0.21,0.05,52.0,75.0,40.0,19.0,0.28,0.4,0.22,0.1,0.6200716845878139,0.3468379744964461,1.369070643357107
llama8b_social_n1_Te_Srrr,356,58,123,15,0.64,0.11,0.22,0.03,63.0,64.0,39.0,20.0,0.34,0.34,0.21,0.11,0.6379928315412187,1.0595080123066412,2.156841985921897
llama8b_social_n3_Teoo_Sd,387,63,89,19,0.69,0.11,0.16,0.03,74.0,67.0,31.0,14.0,0.4,0.36,0.17,0.08,0.6935483870967747,0.1337702432526472,0.6439083461215345
llama8b_social_n3_Teeo_Srr,353,72,117,16,0.63,0.13,0.21,0.03,58.0,68.0,43.0,17.0,0.31,0.37,0.23,0.09,0.6326164874551974,0.0333117121665973,0.4476880808978944
llama8b_social_n3_Teee_Srr,367,73,95,23,0.66,0.13,0.17,0.04,59.0,75.0,40.0,12.0,0.32,0.4,0.22,0.06,0.6577060931899644,0.1353637204136697,0.8316687799097982
llama8b_social_n3_Teeo_Sd,364,61,109,24,0.65,0.11,0.2,0.04,64.0,64.0,44.0,14.0,0.34,0.34,0.24,0.08,0.652329749103943,0.1826374565966014,0.8841938473491817
llama8b_social_n3_Teoo_Sdd,375,67,100,16,0.67,0.12,0.18,0.03,66.0,65.0,47.0,8.0,0.35,0.35,0.25,0.04,0.6720430107526884,0.2577442903115375,1.1094859058145348
llama8b_social_n3_Teee_Sdd,361,69,108,20,0.65,0.12,0.19,0.04,63.0,66.0,40.0,17.0,0.34,0.35,0.22,0.09,0.6469534050179213,0.0268580044193117,0.3600067242363738
llama8b_social_n3_Teee_Sd,375,70,96,15,0.67,0.13,0.17,0.03,70.0,67.0,31.0,18.0,0.38,0.36,0.17,0.1,0.6720430107526886,0.1038259271508356,0.6420531348775208
llama8b_social_n3_Teeo_Sdd,370,67,104,17,0.66,0.12,0.19,0.03,66.0,63.0,46.0,11.0,0.35,0.34,0.25,0.06,0.6630824372759855,0.0812491579300091,0.6331484483426907
llama8b_social_n3_Teoo_Srr,385,44,113,14,0.69,0.08,0.2,0.03,72.0,65.0,39.0,10.0,0.39,0.35,0.21,0.05,0.6899641577060935,0.2868437226507305,1.5536843396637627
llama8b_social_n3_Teoo_Srd,351,74,114,19,0.63,0.13,0.2,0.03,58.0,69.0,39.0,20.0,0.31,0.37,0.21,0.11,0.6290322580645168,0.0787775205863781,0.7886802776177909
llama8b_social_n3_Teee_Sr,370,58,108,22,0.66,0.1,0.19,0.04,59.0,80.0,33.0,14.0,0.32,0.43,0.18,0.08,0.6630824372759861,0.022110297930183,0.2965046074723618
llama8b_social_n3_Teeo_Sdr,385,54,103,16,0.69,0.1,0.18,0.03,72.0,72.0,25.0,17.0,0.39,0.39,0.13,0.09,0.6899641577060937,0.0402999334356897,0.5420730085068034
llama8b_social_n3_Teee_Sdr,366,66,107,19,0.66,0.12,0.19,0.03,64.0,63.0,48.0,11.0,0.34,0.34,0.26,0.06,0.6559139784946235,0.0728550273709525,0.6957646732374339
llama8b_social_n3_Teoo_Sdr,368,66,103,19,0.66,0.12,0.19,0.03,60.0,73.0,42.0,11.0,0.32,0.39,0.23,0.06,0.6594982078853049,0.891762673425077,2.2614064280674464
llama8b_social_n3_Teee_Srd,391,51,97,19,0.7,0.09,0.17,0.03,79.0,59.0,36.0,12.0,0.42,0.32,0.19,0.06,0.7007168458781364,0.0788209959730832,0.7541605655620908
llama8b_social_n3_Teeo_Sr,359,63,114,22,0.64,0.11,0.2,0.04,62.0,62.0,49.0,13.0,0.33,0.33,0.26,0.07,0.6433691756272404,0.0609521635215255,0.6323605129328176
llama8b_social_n3_Teoo_Sr,352,71,113,20,0.63,0.13,0.2,0.04,61.0,67.0,35.0,23.0,0.33,0.36,0.19,0.12,0.6308243727598568,0.3673307553654795,1.3045488900608018
llama8b_social_n3_Teeo_Srd,384,57,100,17,0.69,0.1,0.18,0.03,77.0,60.0,33.0,16.0,0.41,0.32,0.18,0.09,0.688172043010753,0.0691185992691316,0.6862287652012383
llama8b_social_n2_Too_S,360,58,116,20,0.65,0.1,0.21,0.04,54.0,82.0,34.0,16.0,0.29,0.44,0.18,0.09,0.6451612903225812,0.0659352311506486,0.5359434216094596
llama8b_social_n2_Too_Sd,368,63,106,19,0.66,0.11,0.19,0.03,68.0,65.0,34.0,19.0,0.37,0.35,0.18,0.1,0.6594982078853049,0.0183429379452405,0.2488416055084568
llama8b_social_n1_To_Sr,331,66,134,25,0.6,0.12,0.24,0.04,49.0,72.0,40.0,25.0,0.26,0.39,0.22,0.13,0.5931899641577062,0.6138120373928173,1.2574639220728916
llama8b_social_n3_Tooo_Sd,377,61,99,21,0.68,0.11,0.18,0.04,71.0,63.0,38.0,14.0,0.38,0.34,0.2,0.08,0.6756272401433695,0.0972895409901856,0.5985413580195594
llama8b_social_n3_Tooo_S,377,64,99,16,0.68,0.12,0.18,0.03,67.0,67.0,42.0,10.0,0.36,0.36,0.23,0.05,0.6756272401433694,0.449164514366496,1.2492622021391695
llama8b_social_n3_Tooo_Sr,363,69,109,17,0.65,0.12,0.2,0.03,65.0,63.0,42.0,16.0,0.35,0.34,0.23,0.09,0.6505376344086023,0.0647853073651178,0.5234279402098972
llama8b_social_n1_To_S,369,71,97,16,0.67,0.13,0.18,0.03,54.0,87.0,33.0,12.0,0.29,0.47,0.18,0.06,0.6612903225806459,0.7674802780171396,1.1489332741926312
llama8b_social_n1_To_Srr,339,67,133,13,0.61,0.12,0.24,0.02,53.0,69.0,42.0,22.0,0.28,0.37,0.23,0.12,0.6075268817204302,0.0649654905805276,0.520506444862811
llama8b_social_n2_Too_Sdd,348,72,117,19,0.63,0.13,0.21,0.03,56.0,63.0,54.0,13.0,0.3,0.34,0.29,0.07,0.6236559139784945,0.0218746086237676,0.2957110044467809
llama8b_social_n2_Too_Sr,363,69,105,21,0.65,0.12,0.19,0.04,63.0,70.0,34.0,19.0,0.34,0.38,0.18,0.1,0.6505376344086027,0.2687574552302624,1.1199105179197022
llama8b_social_n2_Too_Sdr,352,73,111,20,0.63,0.13,0.2,0.04,60.0,63.0,46.0,17.0,0.32,0.34,0.25,0.09,0.6308243727598568,0.2820727849344445,1.217499302945494
llama8b_social_n2_Too_Srd,365,58,114,21,0.65,0.1,0.2,0.04,68.0,64.0,33.0,21.0,0.37,0.34,0.18,0.11,0.6541218637992835,0.0329009350104462,0.4465493772157144
llama8b_social_n2_Too_Srr,359,62,113,24,0.64,0.11,0.2,0.04,58.0,74.0,37.0,17.0,0.31,0.4,0.2,0.09,0.6433691756272404,0.4004681711998938,1.755317817054687
llama8b_social_n3_Tooo_Srr,368,59,105,24,0.66,0.11,0.19,0.04,63.0,69.0,41.0,13.0,0.34,0.37,0.22,0.07,0.659498207885305,0.2638600564578056,1.1269853904854723
llama8b_social_n3_Tooo_Sdd,362,62,117,17,0.65,0.11,0.21,0.03,60.0,66.0,50.0,10.0,0.32,0.35,0.27,0.05,0.6487455197132621,0.1054511608062086,0.7361366275656231
llama8b_social_n1_To_Srrr,336,79,121,22,0.6,0.14,0.22,0.04,53.0,66.0,45.0,22.0,0.28,0.35,0.24,0.12,0.6021505376344088,0.3433410772851603,1.1280420507373246
llama8b_social_n2_Too_Sddd,359,63,113,21,0.65,0.11,0.2,0.04,63.0,66.0,38.0,19.0,0.34,0.35,0.2,0.1,0.6433691756272403,1.5961473200683638,3.0694095180191323
llama8b_social_n3_Tooo_Sdr,375,62,104,17,0.67,0.11,0.19,0.03,65.0,74.0,32.0,15.0,0.35,0.4,0.17,0.08,0.6720430107526887,0.0988757844685115,0.6856146882314547
llama8b_social_n3_Tooo_Srd,376,59,102,19,0.68,0.11,0.18,0.03,69.0,65.0,39.0,13.0,0.37,0.35,0.21,0.07,0.6738351254480289,0.458305703602188,1.600920075332135
llama8b_social_n2_Too_Sdrd,362,78,102,16,0.65,0.14,0.18,0.03,59.0,74.0,37.0,16.0,0.32,0.4,0.2,0.09,0.6487455197132618,0.1798689520396154,1.1850561065546457
llama8b_social_n2_Too_Srrd,337,66,132,23,0.6,0.12,0.24,0.04,49.0,69.0,52.0,16.0,0.26,0.37,0.28,0.09,0.6039426523297489,0.0349880465583609,0.4724097614263317
llama8b_social_n2_Teo_Sddr,366,67,99,23,0.66,0.12,0.18,0.04,62.0,73.0,34.0,17.0,0.33,0.39,0.18,0.09,0.655913978494624,0.2639712852090083,1.5785907262204135
llama8b_social_n2_Too_Sddr,346,52,132,26,0.62,0.09,0.24,0.05,53.0,75.0,37.0,21.0,0.28,0.4,0.2,0.11,0.6200716845878138,0.5274278653556511,1.6055780205886931
llama8b_social_n2_Too_Srdr,360,74,103,21,0.65,0.13,0.18,0.04,62.0,65.0,44.0,15.0,0.33,0.35,0.24,0.08,0.6451612903225805,0.4070055461876715,1.6005430575917217
llama8b_social_n2_Too_Srdd,361,60,120,17,0.65,0.11,0.22,0.03,66.0,62.0,39.0,19.0,0.35,0.33,0.21,0.1,0.6469534050179211,0.131637146726178,0.8068835339251604
llama8b_social_n2_Too_Srrr,351,74,111,22,0.63,0.13,0.2,0.04,54.0,73.0,43.0,16.0,0.29,0.39,0.23,0.09,0.6290322580645165,0.2475229324292583,1.5521869866453994
